FOOD NAME,SCIENTIFIC NAME,GROUP,SUB GROUP
Pitanga,Eugenia uniflora,Fruits,Tropical fruits
Plains prickly pear,Opuntia macrorhiza,Fruits,Tropical fruits
French plantain,Musa X paradisiaca,Fruits,Tropical fruits
American pokeweed,Phytolacca americana,Vegetables,Shoot vegetables
Polar bear,Ursus maritimus,Animal foods,Other mammals
Opium poppy,Papaver somniferum,Herbs and Spices,Spices
Prairie turnip,Pediomelum esculentum,Vegetables,Root vegetables
Prickly pear,Opuntia,Fruits,Tropical fruits
Quinoa,Chenopodium quinoa,Herbs and Spices,Other seeds
European rabbit,Oryctolagus,Animal foods,Lagomorphs
Raccoon,Procyon lotor,Animal foods,Other mammals
Rainbow smelt,Osmerus mordax,Aquatic foods,Fishes
Rainbow trout,Oncorhynchus mykiss,Aquatic foods,Fishes
Malabar plum,Syzygium jambos,Fruits,Tropical fruits
Rose hip,Rosa,Herbs and Spices,Herbs
Roselle,Hibiscus sabdariffa,Herbs and Spices,Herbs
Orange roughy,Hoplostethus atlanticus,Aquatic foods,Fishes
Sablefish,Anoplopoma fimbria,Aquatic foods,Fishes
Pink salmon,Oncorhynchus gorbuscha,Aquatic foods,Fishes
Chum salmon,Oncorhynchus keta,Aquatic foods,Fishes
Coho salmon,Oncorhynchus kisutch,Aquatic foods,Fishes
Sockeye salmon,Oncorhynchus nerka,Aquatic foods,Fishes
Chinook salmon,Oncorhynchus tshawytscha,Aquatic foods,Fishes
Atlantic salmon,Salmo salar,Aquatic foods,Fishes
Salmonberry,Rubus spectabilis,Fruits,Berries
Common salsify,Tragopogon porrifolius,Vegetables,Root vegetables
Sapodilla,Manilkara zapota,Fruits,Tropical fruits
Mamey sapote,Pouteria sapota,Fruits,Tropical fruits
Spanish mackerel,Scomberomorus maculatus,Aquatic foods,Fishes
Pacific sardine,Sardinops sagax,Aquatic foods,Fishes
Scallop,Pectinidae,Aquatic foods,Mollusks
Scup,Stenotomus chrysops,Aquatic foods,Fishes
Sea cucumber,Parastichopus californicus,Aquatic foods,Other aquatic foods
Steller sea lion,Eumetopias jubatus,Aquatic foods,Pinnipeds
Bearded seal,Erignathus barbatus,Aquatic foods,Pinnipeds
Ringed seal,Pusa hispida,Aquatic foods,Pinnipeds
Seatrout,Cynoscion,Aquatic foods,Fishes
Sesbania flower,Sesbania bispinosa,Vegetables,Other vegetables
American shad,Alosa sapidissima,Aquatic foods,Fishes
Shark,Squaliformes,Aquatic foods,Fishes
Sheefish,Stenodus leucichthys,Aquatic foods,Fishes
"Sheep (Mutton, Lamb)",Ovis aries,Animal foods,Ovis
Sheepshead,Archosargus probatocephalus,Aquatic foods,Fishes
Hedge mustard,Sisymbrium,Herbs and Spices,Other seeds
Skipjack tuna,Katsuwonus pelamis,Aquatic foods,Fishes
Snapper,Lutjanidae,Aquatic foods,Fishes
Soursop,Annona muricata,Fruits,Tropical fruits
Spelt,Triticum spelta,Cereals and cereal products,Cereals
Spirulina,Spirulina,Aquatic foods,Seaweed
Squab,Columba,Animal foods,Poultry
Squirrel,Sciuridae,Animal foods,Rodents
Strawberry guava,Psidium cattleianum,Fruits,Berries
Greater sturgeon,Acipenser,Aquatic foods,Fishes
White sucker,Catostomus commersonii,Aquatic foods,Fishes
Sugar apple,Annona squamosa,Fruits,Tropical fruits
Pumpkinseed sunfish,Lepomis gibbosus,Aquatic foods,Fishes
Swordfish,Xiphias gladius,Aquatic foods,Fishes
Taro,Colocasia esculenta,Vegetables,Root vegetables
Teff,Eragrostis tef,Herbs and Spices,Herbs
Tilefish,Lopholatilus chamaeleonticeps,Aquatic foods,Fishes
Mexican groundcherry,Physalis philadelphica var. immaculata,Vegetables,Fruit vegetables
Towel gourd,Luffa aegyptiaca,Gourds,Gourds
"Salmonidae (Salmon, Trout)",Salmonidae,Aquatic foods,Fishes
Turkey,Meleagris gallopavo,Animal foods,Poultry
"Cattle (Beef, Veal)",Bos taurus,Animal foods,Bovines
Walleye,Sander vitreus,Aquatic foods,Fishes
Alaska pollock,Theragra chalcogramma,Aquatic foods,Fishes
Wasabi,Wasabia japonica,Herbs and Spices,Spices
Wax gourd,Benincasa hispida,Gourds,Gourds
Whelk,Buccinidae,Aquatic foods,Mollusks
Coalfish pollock,Pollachius virens,Aquatic foods,Fishes
Broad whitefish,Coregonus nasus,Aquatic foods,Fishes
Whitefish,Coregonus,Aquatic foods,Fishes
Whiting,Merlangius merlangus,Aquatic foods,Fishes
Wild rice,Zizania,Cereals and cereal products,Cereals
Tea leaf willow,Salix pulchra,Herbs and Spices,Herbs
Winged bean,Psophocarpus tetragonolobus,Pulses,Beans
Yam,Dioscorea,Vegetables,Tubers
Jicama,Pachyrhizus erosus,Vegetables,Root vegetables
Yautia,Xanthosoma sagittifolium,Vegetables,Leaf vegetables
Yellowfin tuna,Thunnus albacares,Aquatic foods,Fishes
Yellowtail amberjack,Seriola lalandi,Aquatic foods,Fishes
Pollock,Pollachius,Aquatic foods,Fishes
Albacore tuna,Thunnus alalunga,Aquatic foods,Fishes
Gadus (Common cod),Gadus,Aquatic foods,Fishes
Atlantic halibut,Hippoglossus hippoglossus,Aquatic foods,Fishes
Pacific halibut,Hippoglossus stenolepis,Aquatic foods,Fishes
Pacific salmon,Oncorhynchus,Aquatic foods,Fishes
Smelt,Osmeridae,Aquatic foods,Fishes
"Clupeinae (Herring, Sardine, Sprat)",Clupeinae,Aquatic foods,Fishes
Spiny lobster,Palinuridae,Aquatic foods,Crustaceans
Snow crab,Chionoecetes opilio,Aquatic foods,Crustaceans
Black-eyed pea,Vigna unguiculata ssp. unguiculata,Pulses,Peas
Deer,Cervidae,Animal foods,Venison
Macadamia nut,Macadamia,Nuts,Nuts
Percoidei (Bass and others),Percoidei,Aquatic foods,Fishes
Perciformes (Perch-like fishes),Perciformes,Aquatic foods,Fishes
Arctic ground squirrel,Urocitellus parryii,Animal foods,Rodents
Rabbit,Leporidae,Animal foods,Lagomorphs
Domestic goat,Capra aegagrus hircus,Animal foods,Caprae
Beefalo,Bos taurus X Bison bison,Animal foods,Bovines
Antelope,Artiodactyla,Animal foods,Venison
"Bivalvia (Clam, Mussel, Oyster)",Bivalvia,Aquatic foods,Mollusks
Squid,Teuthida,Aquatic foods,Mollusks
Shrimp,Caridea,Aquatic foods,Crustaceans
Crayfish,Astacidea,Aquatic foods,Crustaceans
Flatfish,Pleuronectiformes,Aquatic foods,Fishes
"Domestic pig (Piglet, Pork)",Sus scrofa domestica,Animal foods,Swine
Walrus,Odobenus rosmarus,Aquatic foods,Pinnipeds
Alaska wild rhubarb,Polygonum alpinum,Vegetables,Stalk vegetables
Oriental wheat,Triticum turanicum,Cereals and cereal products,Cereals
Yardlong bean,Vigna unguiculata ssp. sesquipedalis,Pulses,Peas
Great horned owl,Bubo virginianus,Animal foods,Poultry
Quail,Phasianidae,Animal foods,Poultry
Boysenberry,Rubus ursinus X idaeus,Fruits,Berries
Persian lime,Citrus latifolia,Fruits,Citrus
Feijoa,Feijoa sellowiana,Fruits,Tropical fruits
Rowal,Pangium edule,Herbs and Spices,Other seeds
Jew's ear,Auricularia auricula-judae,Vegetables,Mushrooms
Common mushroom,Agaricus bisporus,Vegetables,Mushrooms
Shiitake,Lentinus edodes,Vegetables,Mushrooms
Purple laver,Porphyra laciniata,Aquatic foods,Seaweed
Wakame,Undaria pinnatifida,Aquatic foods,Seaweed
Enokitake,Flammulina velutipes,Vegetables,Mushrooms
Epazote,Dysphania ambrosioides,Herbs and Spices,Herbs
Oyster mushroom,Pleurotus ostreatus,Vegetables,Mushrooms
Cloud ear fungus,Auricularia polytricha,Vegetables,Mushrooms
Maitake,Grifola frondosa,Vegetables,Mushrooms
Ostrich fern,Matteuccia struthiopteris,Vegetables,Leaf vegetables
Spot croaker,Leiostomus xanthurus,Aquatic foods,Fishes
Sourdock,Rumex articus,Herbs and Spices,Herbs
Tinda,Citrullus lanatus var. fistulosus,Gourds,Gourds
Atlantic menhaden,Brevoortia tyrannus,Aquatic foods,Fishes
Wheat,Triticum,Cereals and cereal products,Cereals
Common chokecherry,Prunus virginiana,Fruits,Drupes
Agave,Agave,Vegetables,Other vegetables
Narrowleaf cattail,Typha angustifolia,Vegetables,Other vegetables
Jellyfish,Scyphozoa,Aquatic foods,Other aquatic foods
Anchovy,Engraulidae,Aquatic foods,Fishes
Blue whiting,Micromesistius poutassou,Aquatic foods,Fishes
Carp bream,Abramis brama,Aquatic foods,Fishes
Chanterelle,Cantharellus cibarius,Vegetables,Mushrooms
Sturgeon,Acipenseridae,Aquatic foods,Fishes
Charr,Salvelinus,Aquatic foods,Fishes
Cinnamon,Cinnamomum,Herbs and Spices,Spices
Crab,Brachyura,Aquatic foods,Crustaceans
Common dab,Limanda limanda,Aquatic foods,Fishes
Spiny dogfish,Squalus acanthias,Aquatic foods,Fishes
"Anatidae (Duck, Goose, Swan)",Anatidae,Animal foods,Poultry
Anguilliformes (Eel),Anguilliformes,Aquatic foods,Fishes
True frog,Ranidae,Aquatic foods,Amphibians
Garfish,Belone belone,Aquatic foods,Fishes
"Gadiformes (Cod, Hake)",Gadiformes,Aquatic foods,Fishes
Mountain hare,Lepus timidus,Animal foods,Lagomorphs
Lake trout,Salvelinus namaycush,Aquatic foods,Fishes
Lemon sole,Microstomus kitt,Aquatic foods,Fishes
Clawed lobster,Nephropidae,Aquatic foods,Crustaceans
Lumpsucker,Cyclopteridae,Aquatic foods,Fishes
"Scombridae (Bonito, Mackerel, Tuna)",Scombridae,Aquatic foods,Fishes
Marine mussel,Mytilidae,Aquatic foods,Mollusks
Norway haddock,Sebastes viviparus,Aquatic foods,Fishes
Norway lobster,Nephrops norvegicus,Aquatic foods,Crustaceans
Norway pout,Trisopterus esmarkii,Aquatic foods,Fishes
Oil palm,Elaeis,Herbs and Spices,Oilseed crops
True oyster,Ostreidae,Aquatic foods,Mollusks
Sago palm,Metroxylon sagu,Herbs and Spices,Oilseed crops
Persimmon,Diospyros,Fruits,Tropical fruits
Pikeperch,Sander lucioperca,Aquatic foods,Fishes
"Pleuronectidae (Dab, Halibut, Plaice)",Pleuronectidae,Aquatic foods,Fishes
Rock ptarmigan,Lagopus muta,Animal foods,Poultry
Pacific ocean perch,Sebastes alutus,Aquatic foods,Fishes
Black salsify,Scorzonera hispanica,Vegetables,Root vegetables
True seal,Phocidae,Aquatic foods,Pinnipeds
Red algae,Rhodophyta,Aquatic foods,Seaweed
Kombu,Saccharina japonica,Aquatic foods,Seaweed
Snail,Gastropoda,Aquatic foods,Mollusks
True sole,Soleidae,Aquatic foods,Fishes
Catfish,Siluriformes,Aquatic foods,Fishes
Thistle,Cirsium,Vegetables,Root vegetables
Thunnus (Common tuna),Thunnus,Aquatic foods,Fishes
Walnut,Juglans,Nuts,Nuts
"Cetacea (Dolphin, Porpoise, Whale)",Cetacea,Aquatic foods,Cetaceans
"Columbidae (Dove, Pigeon)",Columbidae,Animal foods,Poultry
Conch,Strombidae,Aquatic foods,Mollusks
Grape wine,NULL,Beverages,Fermented beverages
Berry wine,NULL,Beverages,Fermented beverages
Other wine,NULL,Beverages,Fermented beverages
Apple cider,NULL,Beverages,Fermented beverages
Liquor,NULL,Beverages,Distilled beverages
Cheese,NULL,Milk and milk products,Fermented milk products
Milk (Cow),,Milk and milk products,Unfermented milks
Eggs,NULL,Eggs,Eggs
Yogurt,NULL,Milk and milk products,Fermented milk products
Bean,NULL,Pulses,Beans
Vodka,NULL,Beverages,Distilled beverages
Whisky,NULL,Beverages,Distilled beverages
Ice cream,NULL,Confectioneries,Frozen desserts
Gin,NULL,Beverages,Distilled beverages
Honey,NULL,Confectioneries,Other confectioneries
Liquorice,NULL,Confectioneries,Candies
Vinegar,NULL,Baking goods,Seasonings
Rum,NULL,Beverages,Distilled beverages
Port wine,NULL,Beverages,Fortified wines
Vermouth,NULL,Beverages,Fortified wines
Sherry,NULL,Beverages,Fortified wines
Madeira wine,NULL,Beverages,Fortified wines
Nougat,NULL,Confectioneries,Other confectioneries
Toffee,NULL,Confectioneries,Other confectioneries
Cake,NULL,Confectioneries,Desserts
Pizza,NULL,Dishes,Other dishes
Ymer,NULL,Milk and milk products,Fermented milk products
Other snack food,NULL,Snack foods,Snack foods
Crisp bread,NULL,Cereals and cereal products,Flat breads
Pastry,NULL,Confectioneries,Desserts
Dragée,NULL,Confectioneries,Candies
Chewing gum,NULL,Confectioneries,Candies
Marzipan,NULL,Confectioneries,Other confectioneries
Salad dressing,NULL,Baking goods,Dressings
Sauce,NULL,Baking goods,Sauces
Salt,NULL,Baking goods,Seasonings
Butter,NULL,Milk and milk products,Other milk products
Butter substitute,NULL,Baking goods,Substitutes
Cream,NULL,Milk and milk products,Other milk products
Sugar,NULL,Baking goods,Sugars
Sausage,NULL,Dishes,Ground meat
Meatball,NULL,Dishes,Ground meat
Mustard,NULL,Baking goods,Condiments
Pate,NULL,Dishes,Ground meat
Sugar substitute,NULL,Baking goods,Substitutes
Meat bouillon,NULL,Baking goods,Baking goods
Other meat product,NULL,Animal foods,Meat products
Whey,NULL,Milk and milk products,Other milk products
Casein,NULL,Milk and milk products,Other milk products
Fruit preserve,NULL,Fruits,Fruit products
Leavening agent,NULL,Baking goods,Baking goods
Marshmallow,NULL,Confectioneries,Candies
Gelatin,NULL,Baking goods,Baking goods
Water,NULL,Beverages,Waters
Other fish product,NULL,Aquatic foods,Fish products
Milk (Human),NULL,Milk and milk products,Unfermented milks
Other beverage,NULL,Beverages,Other beverages
Baby food,NULL,Baby foods,Baby foods
Dumpling,NULL,Dishes,Other dishes
Soup,NULL,Dishes,Other dishes
Other vegetable product,NULL,Vegetables,Vegetable products
Unclassified food or beverage,NULL,Unclassified,Unclassified
Syrup,NULL,Baking goods,Baking goods
Tallow,NULL,Fats and oils,Animal fats
Remoulade,NULL,Baking goods,Condiments
Chocolate spread,NULL,Confectioneries,Spreads
Fruit gum,NULL,Confectioneries,Candies
Curry powder,NULL,Herbs and Spices,Herb and spice mixtures
Other candy,NULL,Confectioneries,Candies
Meringue,NULL,Confectioneries,Other confectioneries
Lard,NULL,Fats and oils,Animal fats
Other animal fat,NULL,Fats and oils,Animal fats
Other cocoa product,NULL,Cocoa and cocoa products,Cocoa products
Cocoa butter,NULL,Cocoa and cocoa products,Cocoa products
Cocoa powder,NULL,Cocoa and cocoa products,Cocoa products
Cocoa liquor,NULL,Cocoa and cocoa products,Cocoa products
Chocolate,NULL,Cocoa and cocoa products,Cocoa products
Hot chocolate,NULL,Cocoa and cocoa products,Cocoa products
Dried milk,NULL,Milk and milk products,Other milk products
Milk (Other mammals),NULL,Milk and milk products,Unfermented milks
Kefir,NULL,Milk and milk products,Fermented milks
Buttermilk,NULL,Milk and milk products,Fermented milks
Other fermented milk,NULL,Milk and milk products,Fermented milks
Soy sauce,NULL,Soy,Soy products
Miso,NULL,Soy,Soy products
Tofu,NULL,Soy,Soy products
Zwieback,NULL,Cereals and cereal products,Leavened breads
Roe,NULL,Aquatic foods,Roe
Cichlidae (Tilapia),Cichlidae,Aquatic foods,Fishes
Icing,NULL,Confectioneries,Other confectioneries
Snack bar,NULL,Snack foods,Snack foods
Green turtle,Chelonia mydas,Aquatic foods,Other aquatic foods
Energy drink,NULL,Beverages,Nutritional beverages
Burrito,NULL,Dishes,Tex-Mex cuisine
Hamburger,NULL,Dishes,Sandwiches
Baked beans,NULL,Dishes,Other dishes
Chili,NULL,Dishes,Tex-Mex cuisine
Taco,NULL,Dishes,Tex-Mex cuisine
Tortilla,NULL,Cereals and cereal products,Flat breads
Nachos,NULL,Dishes,Tex-Mex cuisine
Processed cheese,NULL,Milk and milk products,Fermented milk products
Salad,NULL,Dishes,Other dishes
Cream substitute,NULL,Baking goods,Substitutes
Dulce de leche,NULL,Confectioneries,Spreads
Topping,NULL,Baking goods,Baking goods
Sweet custard,NULL,Confectioneries,Milk desserts
Egg roll,NULL,Dishes,Asian cuisine
Heart of palm,NULL,Vegetables,Other vegetables
Popcorn,NULL,Snack foods,Snack foods
Potato chip,NULL,Snack foods,Snack foods
Tortilla chip,NULL,Snack foods,Snack foods
Corn chip,NULL,Snack foods,Snack foods
Hibiscus tea,Hibiscus sabbariffa,Teas,Herbal teas
Stew,NULL,Dishes,Other dishes
Gelatin dessert,NULL,Confectioneries,Desserts
Junket,NULL,Confectioneries,Milk desserts
Falafel,NULL,Dishes,Other dishes
Frybread,NULL,Dishes,Other dishes
Other frozen dessert,NULL,Confectioneries,Frozen desserts
Lasagna,NULL,Dishes,Pasta dishes
Morchella (Morel),Morchellaceae,Vegetables,Mushrooms
Pancake,NULL,Dishes,Other dishes
Pectin,NULL,Baking goods,Baking goods
Pudding,NULL,Confectioneries,Desserts
Waffle,NULL,Dishes,Other dishes
Soy milk,NULL,Soy,Soy products
Meatloaf,NULL,Dishes,Ground meat
Sake,NULL,Beverages,Fermented beverages
Cocktail,NULL,Beverages,Alcoholic beverages
Couscous,NULL,Dishes,Berber cuisine
Bulgur,NULL,Cereals and cereal products,Cereal products
Coffee substitute,NULL,Baking goods,Substitutes
Coffee mocha,NULL,Coffee and coffee products,Coffee products
Chimichanga,NULL,Dishes,Mexican cuisine
Semolina,NULL,Cereals and cereal products,Cereal products
Tapioca pearl,NULL,Baking goods,Baking goods
Tostada,NULL,Dishes,Mexican cuisine
Quesadilla,NULL,Dishes,Mexican cuisine
Baked potato,NULL,Dishes,Potato dishes
Hot dog,NULL,Dishes,Sandwiches
Spread,NULL,Baking goods,Baking goods
Enchilada,NULL,Dishes,Mexican cuisine
Egg substitute,NULL,Baking goods,Substitutes
Nutritional drink,NULL,Beverages,Nutritional beverages
Other sandwich,NULL,Dishes,Sandwiches
Ketchup,NULL,Baking goods,Condiments
Breakfast sandwich,NULL,Dishes,Sandwiches
Adobo,NULL,Baking goods,Seasonings
Macaroni and cheese,NULL,Dishes,Pasta dishes
Butterfat,NULL,Milk and milk products,Other milk products
Horned melon,Cucumis metuliferus,Gourds,Gourds
Hushpuppy,NULL,Dishes,American cuisine
Fruit juice,NULL,Beverages,Other beverages
Relish,NULL,Baking goods,Condiments
Other fruit product,NULL,Fruits,Fruit products
Fruit salad,NULL,Fruits,Fruit products
Soy yogurt,NULL,Soy,Soy products
Vegetarian food,NULL,Dishes,Other dishes
Veggie burger,NULL,Dishes,Sandwiches
Cold cut,NULL,Dishes,Ground meat
Mixed nuts,NULL,Nuts,Nuts
Canola,NULL,Herbs and spices,Oilseed crops
Babassu palm,Attalea speciosa,Herbs and Spices,Oilseed crops
Cupuaçu,Theobroma grandiflorum,Herbs and Spices,Oilseed crops
Shea tree,Vitellaria paradoxa,Herbs and Spices,Oilseed crops
Oil-seed Camellia,Camellia oleifera,Herbs and Spices,Oilseed crops
Ucuhuba,Virola surinamensis,Herbs and Spices,Oilseed crops
Phyllo dough,NULL,Baking goods,Baking goods
Cooking oil,NULL,Baking goods,Baking goods
Pie crust,NULL,Baking goods,Wrappers
Pie filling,NULL,Baking goods,Baking goods
Pie,NULL,Confectioneries,Desserts
Shortening,NULL,Fats and oils,Vegetable fats
Soy cream,NULL,Soy,Soy products
Ice cream cone,NULL,Baking goods,Wrappers
Molasses,NULL,Baking goods,Baking goods
Cracker,NULL,Snack foods,Snack foods
Nance,Byrsonima crassifolia,Fruits,Tropical fruits
Naranjilla,Solanum quitoense,Fruits,Tropical fruits
Natto,NULL,Soy,Soy products
Ravioli,NULL,Dishes,Pasta dishes
Scrapple,NULL,Dishes,American cuisine
Other pasta dish,NULL,Dishes,Pasta dishes
Succotash,NULL,Dishes,American cuisine
Tamale,NULL,Dishes,Latin American cuisine
Rice cake,NULL,Dishes,Asian cuisine
Tree fern,Cyathea,Vegetables,Other vegetables
Evaporated milk,NULL,Milk and milk products,Other milk products
Flour,NULL,Cereals and cereal products,Cereal products
Akutaq,NULL,Confectioneries,Desserts
Dough,NULL,Cereals and cereal products,Doughs
Pita bread,NULL,Cereals and cereal products,Flat breads
Focaccia,NULL,Cereals and cereal products,Flat breads
Bagel,NULL,Cereals and cereal products,Leavened breads
Other bread product,NULL,Cereals and cereal products,Bread products
Piki bread,NULL,Cereals and cereal products,Flat breads
French toast,NULL,Cereals and cereal products,Leavened breads
Wheat bread,NULL,Cereals and cereal products,Leavened breads
Rye bread,NULL,Cereals and cereal products,Leavened breads
Oat bread,,Cereals and cereal products,Leavened breads
Potato bread,NULL,Cereals and cereal products,Other breads
Cornbread,NULL,Cereals and cereal products,Flat breads
Corn grits,NULL,Cereals and cereal products,Cereal products
Multigrain bread,NULL,Cereals and cereal products,Leavened breads
Rice bread,NULL,Cereals and cereal products,Leavened breads
Pan dulce,NULL,Cereals and cereal products,Leavened breads
Raisin bread,NULL,Cereals and cereal products,Sweet breads
Wonton wrapper,NULL,Baking goods,Wrappers
Trail mix,NULL,Snack foods,Snack foods
Greenthread tea,Thelesperma,Teas,Herbal teas
Fruit-flavor drink,NULL,Beverages,Other beverages
Vegetable juice,NULL,Beverages,Other beverages
Horchata,NULL,Beverages,Other beverages
Soft drink,NULL,Beverages,Other beverages
Frozen yogurt,NULL,Confectioneries,Frozen desserts
Milkshake,NULL,Confectioneries,Frozen desserts
Chocolate mousse,NULL,Confectioneries,Desserts
Dripping,NULL,Fats and oils,Animal fats
Pupusa,NULL,Dishes,Latin American cuisine
Empanada,NULL,Dishes,Latin American cuisine
Arepa,NULL,Dishes,Latin American cuisine
Ascidians,Ascidiacea,Aquatic foods,Other aquatic foods
Gefilte fish,NULL,Dishes,Jewish cuisine
Yellow pond-lily,Nuphar lutea,Herbs and Spices,Herbs
Fish burger,NULL,Dishes,Sandwiches
Other dish,NULL,Dishes,Other dishes
Pot pie,NULL,Dishes,Other dishes
Stuffing,NULL,Baking goods,Baking goods
Edible shell,NULL,Baking goods,Wrappers
Fudge,NULL,Confectioneries,Candies
Candy bar,NULL,Confectioneries,Candies
Condensed milk,NULL,Milk and milk products,Other milk products
Margarine,NULL,Fats and oils,Vegetable fats
Margarine-like spread,NULL,Fats and oils,Vegetable fats
Hummus,NULL,Dishes,Levantine cuisine
Potato puffs,NULL,Dishes,Potato dishes
Potato gratin,NULL,Dishes,Potato dishes
Milk substitute,NULL,Baking goods,Substitutes
Pepper (C. pubescens),Capsicum pubescens,Vegetables,Fruit vegetables
Soft-necked garlic,Allium sativum L. var. sativum,Herbs and Spices,Herbs
Cabbage,Brassica oleracea var. capitata,Vegetables,Cabbages
Chinese bayberry,Myrica rubra,Fruits,Berries
Mushrooms,NULL,Vegetables,Mushrooms
Alcoholic beverages,NULL,Beverages,Alcoholic beverages
Onion-family vegetables,NULL,Vegetables,Onion-family vegetables
Pomes,NULL,Fruits,Pomes
Brassicas,NULL,Vegetables,Brassicas
Cereals and cereal products,NULL,Cereals and cereal products,Cereals and cereal products
Citrus,NULL,Fruits,Citrus
Cocoa and cocoa products,NULL,Cocoa and cocoa products,Cocoa and cocoa products
Coffee and coffee products,NULL,Coffee and coffee products,Coffee and coffee products
Crustaceans,NULL,Aquatic foods,Crustaceans
Milk and milk products,NULL,Milk and milk products,Milk and milk products
Fats and oils,NULL,Fats and oils,Fats and oils
Fishes,NULL,Aquatic foods,Fishes
Herbs and Spices,NULL,Herbs and Spices,Herbs and Spices
Pulses,,Pulses,Pulses
Animal foods,NULL,Animal foods,Animal foods
Mollusks,NULL,Aquatic foods,Mollusks
Nuts,NULL,Nuts,Nuts
Beverages,NULL,Beverages,Beverages
Fruits,NULL,Fruits,Fruits
Green vegetables,NULL,Vegetables,Green vegetables
Root vegetables,NULL,Vegetables,Root vegetables
Sunburst squash (pattypan squash),Cucurbita pepo var. clypeata,Gourds,Gourds
Green zucchini,Cucurbita pepo var. cylindrica,Gourds,Gourds
Yellow zucchini,Cucurbita pepo var. cylindrica,Gourds,Gourds
Green bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Yellow bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Orange bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Red bell pepper,Capsicum annuum,Vegetables,Fruit vegetables
Italian sweet red pepper,Capsicum annuum,Vegetables,Fruit vegetables
Yellow wax bean,Phaseolus vulgaris,Pulses,Beans
Green bean,Phaseolus vulgaris,Pulses,Beans
Saskatoon berry,Amelanchier alnifolia,Fruits,Berries
Nanking cherry,Prunus tomentosa,Fruits,Berries
Japanese pumpkin,Cucurbita maxima,Gourds,Gourds
White cabbage,Brassica oleracea L. var. capitata L. f. alba DC.,Vegetables,Cabbages
Romaine lettuce,Lactuca sativa L. var. longifolia,Vegetables,Leaf vegetables
"Cow milk, pasteurized, vitamin A + D added, 0% fat",,Milk and milk products,Unfermented milks
"Cow milk, pasteurized, vitamin A + D added, 1% fat",,Milk and milk products,Unfermented milks
"Cow milk, pasteurized, vitamin A + D added, 2% fat",,Milk and milk products,Unfermented milks
"Cow milk, pasteurized, vitamin D added, 3.25% fat",,Milk and milk products,Unfermented milks
