Date,Price (All),Change (All),Price (New),Change (New),Price (Modern),Change (Modern),Price (Older),Change (Older)
1952-11-01,1891,0.0,2107,0.0,2020,0.0,1524,0.0
1953-02-01,1891,0.0,2107,0.0,2002,0.0,1542,0.0
1953-05-01,1891,0.0,2107,0.0,2002,0.0,1542,0.0
1953-08-01,1881,0.0,2117,0.0,2002,0.0,1524,0.0
1953-11-01,1872,-1.0,2117,0.5,1975,-2.2,1542,1.2
1954-02-01,1863,-1.5,2117,0.5,1957,-2.2,1524,-1.2
1954-05-01,1872,-1.0,2117,0.5,1984,-0.9,1515,-1.7
1954-08-01,1863,-1.0,2127,0.5,1948,-2.7,1524,0.0
1954-11-01,1853,-1.0,2127,0.5,1939,-1.8,1515,-1.7
1955-02-01,1900,2.0,2167,2.4,1984,1.4,1569,2.9
1955-05-01,1937,3.5,2217,4.8,2037,2.7,1578,4.1
1955-08-01,1937,4.0,2217,4.3,2037,4.6,1587,4.1
1955-11-01,1937,4.5,2217,4.3,2029,4.6,1587,4.7
1956-02-01,1975,3.9,2278,5.1,2082,5.0,1596,1.7
1956-05-01,2003,3.4,2318,4.5,2109,3.5,1631,3.4
1956-08-01,2003,3.4,2318,4.5,2109,3.5,1631,2.8
1956-11-01,2003,3.4,2328,5.0,2100,3.5,1631,2.8
1957-02-01,2021,2.4,2348,3.1,2109,1.3,1658,3.9
1957-05-01,2021,0.9,2369,2.2,2100,-0.4,1667,2.2
1957-08-01,2030,1.4,2379,2.6,2109,0.0,1667,2.2
1957-11-01,2030,1.4,2399,3.0,2109,0.4,1667,2.2
1958-02-01,2049,1.4,2409,2.6,2118,0.4,1685,1.6
1958-05-01,2049,1.4,2409,1.7,2109,0.4,1694,1.6
1958-08-01,2058,1.4,2419,1.7,2136,1.3,1694,1.6
1958-11-01,2068,1.8,2429,1.3,2145,1.7,1703,2.2
1959-02-01,2077,1.4,2439,1.3,2145,1.3,1721,2.1
1959-05-01,2105,2.7,2459,2.1,2172,3.0,1748,3.2
1959-08-01,2124,3.2,2490,2.9,2189,2.5,1757,3.7
1959-11-01,2170,5.0,2560,5.4,2243,4.6,1784,4.7
1960-02-01,2189,5.4,2600,6.6,2261,5.4,1811,5.2
1960-05-01,2235,6.2,2661,8.2,2297,5.8,1855,6.2
1960-08-01,2301,8.3,2721,9.3,2386,9.0,1891,7.7
1960-11-01,2328,7.3,2762,7.9,2404,7.2,1927,8.0
1961-02-01,2403,9.8,2893,11.2,2484,9.9,1963,8.4
1961-05-01,2440,9.2,2923,9.8,2502,8.9,2026,9.2
1961-08-01,2468,7.3,2933,7.8,2520,5.6,2071,9.5
1961-11-01,2543,9.2,2973,7.7,2618,8.9,2115,9.8
1962-02-01,2552,6.2,2994,3.5,2627,5.8,2124,8.2
1962-05-01,2599,6.5,3084,5.5,2663,6.4,2169,7.1
1962-08-01,2645,7.2,3125,6.5,2708,7.4,2205,6.5
1962-11-01,2673,5.1,3155,6.1,2726,4.1,2241,5.9
1963-02-01,2748,7.7,3185,6.4,2833,7.8,2295,8.0
1963-05-01,2822,8.6,3256,5.6,2922,9.7,2357,8.7
1963-08-01,2850,7.7,3286,5.2,2958,9.2,2375,7.7
1963-11-01,2943,10.1,3326,5.4,3074,12.8,2456,9.6
1964-02-01,2999,9.2,3377,6.0,3101,9.5,2528,10.2
1964-05-01,3092,9.6,3457,6.2,3217,10.1,2582,9.5
1964-08-01,3139,10.1,3578,8.9,3244,9.7,2635,10.9
1964-11-01,3185,8.2,3598,8.2,3333,8.4,2635,7.3
1965-02-01,3269,9.0,3699,9.6,3476,12.1,2644,4.6
1965-05-01,3344,8.1,3800,9.9,3494,8.6,2779,7.6
1965-08-01,3381,7.7,3840,7.3,3512,8.3,2815,6.8
1965-11-01,3418,7.3,3860,7.3,3592,7.8,2824,7.1
1966-02-01,3465,6.0,3891,5.2,3655,5.1,2832,7.1
1966-05-01,3558,6.4,3991,5.0,3726,6.6,2958,6.5
1966-08-01,3558,5.2,4062,5.8,3753,6.9,2895,2.9
1966-11-01,3586,4.9,4112,6.5,3726,3.7,2967,5.1
1967-02-01,3642,5.1,4183,7.5,3807,4.2,2994,5.7
1967-05-01,3698,3.9,4223,5.8,3878,4.1,3039,2.7
1967-08-01,3763,5.8,4243,4.5,3941,5.0,3128,8.0
1967-11-01,3837,7.0,4334,5.4,4003,7.4,3200,7.9
1968-02-01,3903,7.2,4344,3.9,4084,7.3,3272,9.3
1968-05-01,3996,8.1,4495,6.4,4182,7.8,3325,9.4
1968-08-01,4052,7.7,4606,8.6,4200,6.6,3397,8.6
1968-11-01,4089,6.6,4657,7.4,4236,5.8,3424,7.0
1969-02-01,4145,6.2,4657,7.2,4307,5.5,3496,6.8
1969-05-01,4201,5.1,4697,4.5,4379,4.7,3532,6.2
1969-08-01,4229,4.4,4798,4.2,4370,4.0,3576,5.3
1969-11-01,4312,5.5,4848,4.1,4477,5.7,3630,6.0
1970-02-01,4378,5.6,4939,6.1,4522,5.0,3711,6.2
1970-05-01,4452,6.0,4949,5.4,4620,5.5,3774,6.9
1970-08-01,4508,6.6,5080,5.9,4629,5.9,3845,7.5
1970-11-01,4582,6.3,5161,6.4,4718,5.4,3908,7.7
1971-02-01,4741,8.3,5352,8.4,4888,8.1,4043,8.9
1971-05-01,4908,10.3,5584,12.8,5067,9.7,4159,10.2
1971-08-01,5244,16.3,5916,16.5,5406,16.8,4473,16.3
1971-11-01,5533,20.7,6239,20.9,5746,21.8,4670,19.5
1972-02-01,6008,26.7,6733,25.8,6202,26.9,5136,27.1
1972-05-01,6557,33.6,7267,30.1,6836,34.9,5531,33.0
1972-08-01,7395,41.0,8396,41.9,7632,41.2,6257,39.9
1972-11-01,7880,42.4,9091,45.7,8078,40.6,6687,43.2
1973-02-01,8396,39.8,9844,46.2,8551,37.9,7147,39.1
1973-05-01,8832,34.7,10232,40.8,9067,32.6,7475,35.2
1973-08-01,9183,24.2,10504,25.1,9438,23.7,7794,24.6
1973-11-01,9767,24.0,11088,22.0,9817,21.5,8353,24.9
1974-02-01,9928,18.2,11242,14.2,9987,16.8,8496,18.9
1974-05-01,10027,13.5,11374,11.2,10025,10.6,8648,15.7
1974-08-01,10148,10.5,11450,9.0,10109,7.1,8829,13.3
1974-11-01,10208,4.5,11626,4.9,10166,3.5,8877,6.3
1975-02-01,10388,4.6,11780,4.8,10279,2.9,9096,7.1
1975-05-01,10728,7.0,12265,7.8,10626,6.0,9334,7.9
1975-08-01,10978,8.2,12627,10.3,10872,7.5,9534,8.0
1975-11-01,11288,10.6,13144,13.1,11201,10.2,9725,9.6
1976-02-01,11519,10.9,13463,14.3,11417,11.1,9924,9.1
1976-05-01,11739,9.4,13793,12.5,11586,9.0,10144,8.7
1976-08-01,11999,9.3,14134,11.9,11916,9.6,10258,7.6
1976-11-01,12209,8.2,14508,10.4,12057,7.6,10468,7.6
1977-02-01,12409,7.7,14816,10.1,12236,7.2,10658,7.4
1977-05-01,12689,8.1,15267,10.7,12490,7.8,10858,7.0
1977-08-01,12970,8.1,15641,10.7,12745,7.0,11115,8.4
1977-11-01,13150,7.7,16125,11.1,12905,7.0,11200,7.0
1978-02-01,13820,11.4,16851,13.7,13573,10.9,11791,10.6
1978-05-01,14491,14.2,17577,15.1,14251,14.1,12372,13.9
1978-08-01,15912,22.7,19216,22.9,15822,24.1,13467,21.2
1978-11-01,16823,27.9,20283,25.8,16735,29.7,14296,27.6
1979-02-01,17793,28.7,21658,28.5,17620,29.8,15210,29.0
1979-05-01,19075,31.6,22923,30.4,18900,32.6,16420,32.7
1979-08-01,20485,28.7,24716,28.6,20180,27.5,17801,32.2
1979-11-01,21966,30.6,26124,28.8,21733,29.9,19144,33.9
1980-02-01,22677,27.4,27839,28.5,23067,30.9,19605,28.9
1980-05-01,23348,22.4,28830,25.8,22986,21.6,20220,23.1
1980-08-01,23628,15.3,29314,18.6,23230,15.1,20497,15.1
1980-11-01,23497,7.0,29468,12.8,23070,6.1,20373,6.4
1981-02-01,23730,4.6,30481,9.5,23488,1.8,20444,4.3
1981-05-01,24098,3.2,30985,7.5,23814,3.6,20801,2.9
1981-08-01,24188,2.4,30875,5.3,24040,3.5,20820,1.6
1981-11-01,23798,1.3,31557,7.1,23578,2.2,20334,-0.2
1982-02-01,24177,1.9,32107,5.3,23805,1.3,20715,1.3
1982-05-01,24679,2.4,32426,4.7,24482,2.8,21211,2.0
1982-08-01,24969,3.2,32724,6.0,24943,3.8,21420,2.9
1982-11-01,25580,7.5,33471,6.1,25537,8.3,22030,8.3
1983-02-01,26307,8.8,33868,5.5,26332,10.6,22665,9.4
1983-05-01,27386,11.0,35324,8.9,27359,11.8,23594,11.2
1983-08-01,28175,12.8,36137,10.4,28202,13.1,24297,13.4
1983-11-01,28623,11.9,37085,10.8,28571,11.9,24591,11.6
1984-02-01,29675,12.8,38101,12.5,29677,12.7,25770,13.7
1984-05-01,30833,12.6,39219,11.0,30887,12.9,26880,13.9
1984-08-01,31254,10.9,39455,9.2,31440,11.5,27379,12.7
1984-11-01,32543,13.7,40946,10.4,32626,14.2,28376,15.4
1985-02-01,33200,11.9,42334,11.1,33046,11.4,28966,12.4
1985-05-01,34174,10.8,43080,9.8,34047,10.2,29895,11.2
1985-08-01,34700,11.0,43994,11.5,34574,10.0,30348,10.8
1985-11-01,35436,8.9,45417,10.9,35180,7.8,31028,9.3
1986-02-01,35647,7.4,45485,7.4,35285,6.8,31368,8.3
1986-05-01,37015,8.3,46907,8.9,36681,7.7,32682,9.3
1986-08-01,38251,10.2,48668,10.6,37866,9.5,33748,11.2
1986-11-01,39593,11.7,50395,11.0,39366,11.9,34949,12.6
1987-02-01,40882,14.7,50903,11.9,40472,14.7,36467,16.3
1987-05-01,42987,16.1,53206,13.4,42500,15.9,38371,17.4
1987-08-01,44434,16.2,54933,12.9,43922,16.0,39799,17.9
1987-11-01,44355,12.0,55374,9.9,43632,10.8,39663,13.5
1988-02-01,45091,10.3,55713,9.4,44633,10.3,39799,9.1
1988-05-01,48932,13.8,60318,13.4,48530,14.2,43086,12.3
1988-08-01,54352,22.3,66753,21.5,54455,24.0,47460,19.2
1988-11-01,57245,29.1,71021,28.3,57667,32.2,49840,25.7
1989-02-01,59534,32.0,71495,28.3,59458,33.2,52967,33.1
1989-05-01,62244,27.2,72714,20.6,62060,27.9,55598,29.0
1989-08-01,62782,15.5,72366,8.4,61551,13.0,56785,19.6
1989-11-01,61495,7.4,71515,0.7,60666,5.2,55824,12.0
1990-02-01,59587,0.1,69452,-2.9,59038,-0.7,54338,2.6
1990-05-01,58982,-5.2,68243,-6.1,58509,-5.7,54055,-2.8
1990-08-01,57245,-8.8,67296,-7.0,57422,-6.7,52333,-7.8
1990-11-01,54919,-10.7,64971,-9.2,55768,-8.1,49902,-10.6
1991-02-01,54547,-8.5,64397,-7.3,55918,-5.3,49197,-9.5
1991-05-01,55418,-6.0,65746,-3.7,55793,-4.6,50960,-5.7
1991-08-01,54903,-4.1,65052,-3.3,56139,-2.2,50085,-4.3
1991-11-01,53635,-2.3,63580,-2.1,54790,-1.8,49074,-1.7
1992-02-01,52187,-4.3,63911,-0.8,53593,-4.2,47124,-4.2
1992-05-01,52663,-5.0,63509,-3.4,53689,-3.8,48028,-5.8
1992-08-01,52243,-4.8,63154,-2.9,53179,-5.3,47822,-4.5
1992-11-01,50168,-6.5,61071,-3.9,51034,-6.9,45665,-6.9
1993-02-01,50128,-3.9,61621,-3.6,51544,-3.8,44619,-5.3
1993-05-01,51918,-1.4,62931,-0.9,52672,-1.9,47362,-1.4
1993-08-01,51746,-1.0,61562,-2.5,52260,-1.7,48049,0.5
1993-11-01,51050,1.8,60008,-1.7,52038,2.0,47183,3.3
1994-02-01,51327,2.4,62084,0.8,52363,1.6,46997,5.3
1994-05-01,51362,-1.1,59102,-6.1,52477,-0.4,47404,0.1
1994-08-01,51731,-0.0,58687,-4.7,52808,1.0,47786,-0.5
1994-11-01,52114,2.1,61586,2.6,52703,1.3,47811,1.3
1995-02-01,51084,-0.5,62243,0.3,51845,-1.0,47300,0.6
1995-05-01,51633,0.5,62020,4.9,52452,-0.0,47850,0.9
1995-08-01,51334,-0.8,63301,7.9,52415,-0.7,46909,-1.8
1995-11-01,50930,-2.3,62772,1.9,51545,-2.2,46801,-2.1
1996-02-01,51367,0.6,62302,0.1,52097,0.5,47136,-0.3
1996-05-01,53032,2.7,65530,5.7,53624,2.2,46895,-2.0
1996-08-01,54008,5.2,68613,8.4,54555,4.1,49293,5.1
1996-11-01,55169,8.3,70210,11.8,55408,7.5,50520,7.9
1997-02-01,55810,8.6,70549,13.2,56399,8.3,50948,8.1
1997-05-01,58403,10.1,71892,9.7,58651,9.4,53802,14.7
1997-08-01,60754,12.5,73284,6.8,60618,11.1,56653,14.9
1997-11-01,61830,12.1,75462,7.5,61443,10.9,57763,14.3
1998-02-01,62903,12.7,74853,6.1,62817,11.4,58867,15.5
1998-05-01,65221,11.7,75618,5.2,65234,11.2,61286,13.9
1998-08-01,66366,9.2,78354,6.9,65856,8.6,62685,10.6
1998-11-01,66313,7.3,78804,4.4,65962,7.4,62568,8.3
1999-02-01,67478,7.3,79650,6.4,67183,6.9,63751,8.3
1999-05-01,70010,7.3,80886,7.0,69583,6.7,66559,8.6
1999-08-01,72362,9.0,83917,7.1,71855,9.1,69018,10.1
1999-11-01,74638,12.6,86141,9.3,74283,12.6,71149,13.7
2000-02-01,77698,15.1,89015,11.8,77208,14.9,74285,16.5
2000-05-01,81202,16.0,90383,11.7,80893,16.3,77808,16.9
2000-08-01,80935,11.8,92207,9.9,80756,12.4,77930,12.9
2000-11-01,81628,9.4,92950,7.9,81580,9.8,78035,9.7
2001-02-01,83976,8.1,95641,7.4,83297,7.9,80656,8.6
2001-05-01,87638,7.9,97534,7.9,87482,8.1,84472,8.6
2001-08-01,91049,12.5,101312,9.9,90659,12.3,87562,12.4
2001-11-01,92533,13.4,104462,12.4,92450,13.3,88656,13.6
2002-02-01,95356,13.6,106735,11.6,95849,15.1,91441,13.4
2002-05-01,103501,18.1,113801,16.7,103335,18.1,99562,17.9
2002-08-01,110830,21.7,119508,18.0,110900,22.3,106987,22.2
2002-11-01,115940,25.3,125937,20.6,116789,26.3,112528,26.9
2003-02-01,119938,25.8,130705,22.5,121304,26.6,116676,27.6
2003-05-01,125382,21.1,133711,17.5,126292,22.2,122520,23.1
2003-08-01,129761,17.1,136027,13.8,130090,17.3,126581,18.3
2003-11-01,133903,15.5,140892,11.9,134302,15.0,130638,16.1
2004-02-01,140225,16.9,147415,12.8,140045,15.4,136710,17.2
2004-05-01,148462,18.4,154907,15.9,148931,17.9,146623,19.7
2004-08-01,153482,18.3,162816,19.7,153976,18.4,151484,19.7
2004-11-01,152464,13.9,162451,15.3,152735,13.7,151337,15.8
2005-02-01,152790,9.0,161567,9.6,153281,9.5,151768,11.0
2005-05-01,157494,6.1,164342,6.1,156364,5.0,156530,6.8
2005-08-01,157627,2.7,165284,1.5,155491,1.0,155038,2.3
2005-11-01,157387,3.2,166980,2.8,155297,1.7,154193,1.9
2006-02-01,160319,4.9,166857,3.3,158303,3.3,157789,4.0
2006-05-01,165035,4.8,172688,5.1,162340,3.8,163249,4.3
2006-08-01,168460,6.9,175386,6.1,165907,6.7,166402,7.3
2006-11-01,172065,9.3,180964,8.4,169066,8.9,170302,10.4
2007-02-01,175554,9.5,184424,10.5,172247,8.8,174591,10.6
2007-05-01,181810,10.2,190214,10.1,169967,4.7,181302,11.1
2007-08-01,184131,9.3,190476,8.6,172398,3.9,183185,10.1
2007-11-01,183959,6.9,192268,6.2,171753,1.6,183599,7.8
2008-02-01,179363,2.2,190798,3.5,167812,-2.6,178618,2.3
2008-05-01,174514,-4.0,186533,-1.9,163416,-3.9,173908,-4.1
2008-08-01,165188,-10.3,175604,-7.8,154405,-10.4,164682,-10.1
2008-11-01,156828,-14.7,164457,-14.5,146512,-14.7,156217,-14.9
2009-02-01,149709,-16.5,159691,-16.3,139958,-16.6,147537,-17.4
2009-05-01,154066,-11.7,157934,-15.3,143532,-12.2,153671,-11.6
2009-08-01,160159,-3.0,163534,-6.9,149108,-3.4,159615,-3.1
2009-11-01,162116,3.4,164433,-0.0,150746,2.9,162602,4.1
2010-02-01,162887,8.8,168346,5.4,151620,8.3,162498,10.1
2010-05-01,168719,9.5,169098,7.1,156433,9.0,170080,10.7
2010-08-01,167354,4.5,171904,5.1,154793,3.8,169421,6.1
2010-11-01,162971,0.5,167395,1.8,151840,0.7,162892,0.2
2011-02-01,162379,-0.3,167779,-0.3,151177,-0.3,162491,-0.0
2011-05-01,166764,-1.2,171473,1.4,154469,-1.3,168278,-1.1
2011-08-01,166597,-0.5,170263,-1.0,154103,-0.4,168895,-0.3
2011-11-01,164785,1.1,172707,3.2,152432,0.4,166107,2.0
2012-02-01,162722,0.2,173045,3.1,150532,-0.4,163840,0.8
2012-05-01,164955,-1.1,175697,2.5,152059,-1.6,167423,-0.5
2012-08-01,163910,-1.6,172052,1.1,151360,-1.8,166351,-1.5
2012-11-01,162924,-1.1,173337,0.4,150302,-1.4,165276,-0.5
2013-02-01,163056,0.2,174064,0.6,151028,0.3,164406,0.3
2013-05-01,167294,1.4,175419,-0.2,154696,1.7,169600,1.3
2013-08-01,170918,4.3,179164,4.1,157639,4.1,173856,4.5
2013-11-01,174444,7.1,183364,5.8,160595,6.8,178062,7.7
2014-02-01,178124,9.2,189228,8.7,163729,8.4,182361,10.9
2014-05-01,186544,11.5,190051,8.3,171680,11.0,192251,13.4
2014-08-01,188810,10.5,193409,8.0,173918,10.3,195345,12.4
2014-11-01,189002,8.3,196136,7.0,174683,8.8,193554,8.7
2015-02-01,188566,5.9,192434,1.7,174053,6.3,194178,6.5
2015-05-01,194258,4.1,194511,2.3,179358,4.5,201008,4.6
2015-08-01,195733,3.7,202250,4.6,0,0.0,0,0.0
2015-11-01,197044,4.3,203122,3.6,0,0.0,0,0.0
2016-02-01,198564,5.3,210093,9.2,0,0.0,0,0.0
2016-05-01,204238,5.1,214987,10.5,0,0.0,0,0.0
2016-08-01,206346,5.4,219881,8.7,0,0.0,0,0.0
2016-11-01,205937,4.5,218725,7.7,0,0.0,0,0.0
2017-02-01,206665,4.1,216824,3.2,0,0.0,0,0.0
2017-05-01,209971,2.8,223315,3.9,0,0.0,0,0.0
2017-08-01,211672,2.6,224273,2.0,0,0.0,0,0.0
2017-11-01,211433,2.7,233723,6.9,0,0.0,0,0.0
