"country","activeDuty","paramilitary","reserves","total","pop2022"
"China","2185000","660000","1170000","4015000","1448471.4000"
"India","1455550","2526950","1155000","5137500","1406631.7760"
"United States","1388100","0","844950","2233050","334805.2690"
"North Korea","1280000","5889000","600000","7769000","25990.6790"
"Russia","1014000","554000","2000000","3568000","145805.9470"
"Pakistan","654000","291000","550000","1495000","229488.9940"
"Iran","610000","40000","350000","1000000","86022.8370"
"South Korea","599000","3013500","3100000","6712500","51329.8990"
"Vietnam","482000","5040000","5000000","10522000","98953.5410"
"Egypt","438500","397000","479000","1314500","106156.6920"
"Myanmar","406000","107000","0","513000","55227.1430"
"Indonesia","395500","280000","400000","1075500","279134.5050"
"Brazil","366500","395000","1340000","2101500","215353.5930"
"Thailand","360850","138700","200000","699550","70078.2030"
"Turkey","355200","156800","378700","890700","85561.9760"
"Colombia","293200","187900","34950","516050","51512.7620"
"Sri Lanka","255000","92600","5500","353100","21575.8420"
"Japan","247150","14350","56000","317500","125584.8380"
"Saudi Arabia","227000","24500","0","251500","35844.9090"
"Mexico","216000","111900","81500","409400","131562.7720"
"Ukraine","209000","102000","900000","1211000","43192.1220"
"France","203250","130800","41050","375100","65584.5180"
"Eritrea","201750","0","120000","321750","3662.2440"
"Morocco","195800","50000","150000","395800","37772.7560"
"Iraq","193000","148000","0","341000","42164.9650"
"South Sudan","185000","0","0","185000","11618.5110"
"Germany","183500","0","30050","213550","83883.5960"
"Afghanistan","178800","99000","0","277800","40754.3880"
"Israel","169500","8000","465000","642500","8922.8920"
"Syria","169000","100000","0","269000","19364.8090"
"Italy","165500","175750","18300","359550","60262.7700"
"Bangladesh","163050","63900","0","226950","167885.6890"
"Taiwan","163000","11800","1657000","1831800","23888.5950"
"United Kingdom","148500","0","78600","227100","68497.9070"
"Philippines","143100","62300","131000","336400","112508.9940"
"Nigeria","143000","80000","0","223000","216746.9340"
"Greece","142700","4000","221350","368050","10316.6370"
"Ethiopia","138000","0","0","138000","120812.6980"
"DR Congo","134250","0","0","134250","95240.7920"
"Algeria","130000","187200","150000","467200","45350.1480"
"Azerbaijan","126950","15000","330000","471950","10300.2050"
"Cambodia","124300","67000","0","191300","17168.6390"
"Venezuela","123000","220000","8000","351000","29266.9910"
"Spain","120350","75800","15150","211300","46719.1420"
"Poland","114050","75400","0","189450","37739.7850"
"Malaysia","113000","267200","51600","431800","33181.0720"
"Angola","107000","10000","0","117000","35027.3430"
"Sudan","104300","105000","0","209300","45992.0200"
"Jordan","100500","15000","65000","180500","10300.8690"
"Nepal","96600","15000","0","111600","30225.5820"
"Peru","81000","77000","188000","346000","33684.2080"
"Chile","77200","44700","40000","161900","19250.1950"
"Argentina","72100","31250","0","103350","46010.2340"
"Romania","69300","57000","50000","176300","19031.3350"
"Canada","67400","4500","35600","107500","38388.4190"
"South Africa","65350","0","15050","80400","60756.1350"
"United Arab Emirates","63000","0","0","63000","10081.7850"
"Lebanon","60000","20000","0","80000","6684.8490"
"Australia","58600","0","30100","88700","26068.7920"
"Dominican Republic","56050","15000","0","71050","11056.3700"
"Singapore","51000","7400","252500","310900","5943.5460"
"Cuba","49000","1146500","39000","1234500","11305.6520"
"Uzbekistan","48000","20000","0","68000","34382.0840"
"Belarus","45350","110000","289500","444850","9432.8000"
"Uganda","45000","1400","10000","56400","48432.8630"
"Armenia","44800","4300","210000","259100","2971.9660"
"Oman","42600","4400","0","47000","5323.9930"
"Ecuador","40250","500","118000","158750","18113.3610"
"Yemen","40000","0","0","40000","31154.8670"
"Kazakhstan","39000","31500","0","70500","19205.0430"
"Bulgaria","36950","0","3000","39950","6844.5970"
"Turkmenistan","36500","5000","0","41500","6201.9430"
"Tunisia","35800","12000","0","47800","12046.6560"
"Netherlands","35400","5900","4500","45800","17211.4470"
"Bolivia","34100","37100","0","71200","11992.6560"
"Chad","33250","11900","0","45150","17413.5800"
"Rwanda","33000","2000","0","35000","13600.4640"
"Burundi","30050","21000","0","51050","12624.8400"
"Sweden","29750","21200","0","50950","10218.9710"
"Laos","29100","100000","0","129100","7481.0230"
"Zimbabwe","29000","21800","0","50800","15331.4280"
"Serbia","28150","3700","50150","82000","8653.0160"
"Hungary","27800","12000","20000","59800","9606.2590"
"Ivory Coast","27400","0","0","27400","27742.2980"
"Portugal","27250","24700","211700","263650","10140.5700"
"Tanzania","27000","1400","80000","108400","63298.5500"
"Belgium","26300","0","5100","31400","11668.2780"
"Cameroon","25400","9000","0","34400","27911.5480"
"El Salvador","24500","17000","9900","51400","6550.3890"
"Kenya","24100","5000","0","29100","56215.2210"
"Finland","23800","14200","216000","254000","5554.9600"
"Norway","23250","0","40000","63250","5511.3700"
"Austria","22050","0","125600","147650","9066.7100"
"Czech Republic","21750","0","0","21750","10736.7840"
"Uruguay","21000","1400","0","22400","3496.0160"
"Georgia","20650","5400","0","26050","3968.7380"
"Lithuania","19850","14400","6700","40950","2661.7080"
"Somalia","19800","0","0","19800","16841.7950"
"Switzerland","19550","0","196450","216000","8773.6370"
"Guatemala","18050","25000","63850","106900","18584.0390"
"Kuwait","17500","7100","23700","48300","4380.3260"
"Qatar","16500","5000","0","21500","2979.9150"
"Slovakia","15850","0","0","15850","5460.1930"
"Mauritania","15850","5000","0","20850","4901.9810"
"Ghana","15500","0","0","15500","32395.4500"
"Croatia","15200","3000","18350","36550","4059.2860"
"Zambia","15100","1400","3000","19500","19470.2340"
"Cyprus","15000","750","50000","65750","1223.3870"
"Honduras","14950","8000","60000","82950","10221.2470"
"Denmark","14500","0","44000","58500","5834.9500"
"Paraguay","13950","14800","164500","193250","7305.8430"
"Senegal","13600","5000","0","18600","17653.6710"
"Madagascar","13500","8100","0","21600","29178.0770"
"Mali","13000","7800","0","20800","21473.7640"
"Nicaragua","12000","0","0","12000","6779.1000"
"Mozambique","11200","0","0","11200","33089.4610"
"Burkina Faso","11200","250","0","11450","22102.8380"
"Kyrgyzstan","10900","9500","0","20400","6728.2710"
"Malawi","10700","4200","0","14900","20180.8390"
"Bosnia and Herzegovina","10500","0","0","10500","3249.3170"
"Djibouti","10450","2650","0","13100","1016.0970"
"Republic of the Congo","10000","2000","0","12000","5797.8050"
"Namibia","9900","6000","0","15900","2633.8740"
"Guinea","9700","2600","0","12300","13865.6910"
"Mongolia","9700","7500","137000","154200","3378.0780"
"Ireland","9500","0","4050","13550","5020.1990"
"Central African Republic","9150","1000","0","10150","5016.6780"
"Botswana","9000","0","0","9000","2441.1620"
"New Zealand","9000","0","2300","11300","4898.2030"
"Tajikistan","8800","7500","0","16300","9957.4640"
"Togo","8550","750","0","9300","8680.8370"
"Sierra Leone","8500","0","0","8500","8306.4360"
"Bahrain","8200","11260","0","19460","1783.9830"
"Albania","8000","0","0","8000","2866.3740"
"North Macedonia","8000","7600","4850","20450","2081.3040"
"Benin","7250","4800","0","12050","12784.7260"
"Slovenia","7250","5950","1500","14700","2078.0340"
"Brunei","7200","450","700","8350","445.4310"
"Estonia","7100","0","17500","24600","1321.9100"
"Latvia","6210","0","15900","22110","1848.8370"
"Niger","5300","5400","0","10700","26083.6600"
"Moldova","5150","900","58000","64050","4013.1710"
"Gabon","4700","2000","0","6700","2331.5330"
"Guinea-Bissau","4450","0","0","4450","2063.3670"
"Trinidad and Tobago","4050","0","0","4050","1406.5850"
"Jamaica","3950","0","980","4930","2985.0940"
"Papua New Guinea","3600","0","0","3600","9292.1690"
"Fiji","3500","0","6000","9500","909.4660"
"Guyana","3400","0","670","4070","794.0450"
"Montenegro","2350","10100","0","12450","627.9500"
"Liberia","2010","0","0","2010","5305.1170"
"Lesotho","2000","0","0","2000","2175.6990"
"Malta","1950","0","180","2130","444.0330"
"Suriname","1840","0","0","1840","596.8310"
"Belize","1500","150","700","2350","412.1900"
"Equatorial Guinea","1450","0","0","1450","1496.6620"
"Bahamas","1300","0","0","1300","400.5160"
"Cape Verde","1200","0","0","1200","567.6780"
"Luxembourg","900","600","0","1500","642.3710"
"Gambia","800","0","0","800","2558.4820"
"Barbados","610","0","430","1040","288.0230"
"Seychelles","420","0","0","420","99.4260"
"Antigua and Barbuda","180","0","80","260","99.5090"
"Haiti","150","50","0","200","11680.2830"
"Iceland","0","250","0","250","345.3930"
"Mauritius","0","2550","0","2550","1274.7270"
"Costa Rica","0","9800","0","9800","5182.3540"
"Panama","0","26000","0","26000","4446.9640"