,Model,Maker,Type,Seats,Displacement,Length,Width,Height,Wheelbase,No_of_Cylinders,Fuel,Engine Type,Transmission,Front Brake,Rear Brake,Drive,Turning Radius,Fuel Tank Capacity,Boot Space,Fuel Efficiency,Emission Type,Tyre Size,Variants,NCAP Rating
82,Glanza,Toyota,Hatchback,5,1197.0,3990,1745,1500,2520,4.0,Petrol,K12 N,MT,Disc,Drum,2WD,4.85,37.0,318.0,22.35,BS VI,185/65 R16,4,Not Rated
89,i20,Hyundai,Hatchback,5,1197.0,3995,1775,1505,2580,4.0,Petrol,1.2L Kappa,IVT,Disc,Drum,2WD,5.2,37.0,326.0,19.65,BS VI,195/55 R16,2,3
80,Fortuner,Toyota,SUV,7,2694.0,4795,1855,1835,2745,4.0,Petrol,2.7L Petrol,5 MT,Disc,Disc,2WD,5.8,80.0,296.0,14.2,BS VI,265/65 R17,1,5
96,Verna,Hyundai,Sedan,5,1497.0,4440,1729,1475,2600,4.0,Petrol,1.5L Mpi,IVT,Disc,Drum,2WD,5.2,45.0,480.0,18.4,BS VI,195/55 R16,2,0
95,Verna,Hyundai,Sedan,5,1497.0,4440,1729,1475,2600,4.0,Petrol,1.5L Mpi,6 MT,Disc,Drum,2WD,5.2,45.0,480.0,17.7,BS VI,195/55 R16,4,0
94,i20 N-Line,Hyundai,Hatchback,5,998.0,3995,1775,1505,2580,4.0,Petrol,1.0L Turbo Gdi,iMT,Disc,Disc,2WD,5.2,37.0,326.0,20.25,BS VI,195/55 R16,2,3
93,i20 N-Line,Hyundai,Hatchback,5,998.0,3995,1775,1505,2580,4.0,Petrol,1.0L Turbo Gdi,7 DCT,Disc,Disc,2WD,5.2,37.0,326.0,20.25,BS VI,195/55 R16,1,3
116,Creta,Hyundai,SUV,5,1493.0,4300,1790,1635,2610,4.0,Diesel,1.5L U2 CRDi,6 MT,Disc,Disc,2WD,5.3,50.0,433.0,21.35,BS VI,215/60 R17,7,3
108,Venue,Hyundai,Compact SUV,5,1197.0,3995,1770,1617,2500,4.0,Petrol,1.2L Kappa,5 MT,Disc,Drum,2WD,5.1,45.0,350.0,17.5,BS VI,195/65 R15,4,4
115,Creta,Hyundai,SUV,5,1353.0,4300,1790,1635,2610,4.0,Petrol,1.4L Kappa Turbo GDi,7 DCT,Disc,Disc,2WD,5.3,50.0,433.0,16.76,BS VI,215/60 R17,2,3
114,Creta,Hyundai,SUV,5,1497.0,4300,1790,1635,2610,4.0,Petrol,1.5L MPi,6 MT,Disc,Disc,2WD,5.3,50.0,433.0,16.76,BS VI,215/60 R17,6,3
113,Creta,Hyundai,SUV,5,1497.0,4300,1790,1635,2610,4.0,Petrol,1.5L MPi,IVT,Disc,Disc,2WD,5.3,50.0,433.0,16.76,BS VI,215/60 R17,3,3
112,Venue N-Line,Hyundai,Compact SUV,5,1493.0,3995,1770,1617,2500,4.0,Petrol,1.0L Kappa Turbo GDi,7 DCT,Disc,Disc,2WD,5.1,45.0,350.0,18.1,BS VI,215/60 R16,2,4
111,Venue,Hyundai,Compact SUV,5,1493.0,3995,1770,1617,2500,4.0,Diesel,1.5L U2 CRDi,6 MT,Disc,Drum,2WD,5.1,45.0,350.0,23.4,BS VI,215/60 R16,3,4
119,Alcazar,Hyundai,SUV,6,1999.0,4500,1790,1675,2760,4.0,Petrol,2.0L Mpi,6 AT,Disc,Disc,2WD,5.3,50.0,180.0,14.2,BS VI,215/55 R18,2,Not Rated
110,Venue,Hyundai,Compact SUV,5,998.0,3995,1770,1617,2500,4.0,Petrol,1.0L Kappa Turbo GDi,7 DCT,Disc,Drum,2WD,5.1,45.0,350.0,18.1,BS VI,215/60 R16,2,4
90,i20,Hyundai,Hatchback,5,998.0,3995,1775,1505,2580,4.0,Petrol,1.0L Turbo GDi,7 DCT,Disc,Drum,2WD,5.2,37.0,326.0,20.25,BS VI,195/55 R16,2,3
103,Aura,Hyundai,Compact Sedan,5,1197.0,3995,1680,1520,2450,4.0,Petrol + CNG,1.2L Bi-Fuel (Petrol with CNG),5 MT,Disc,Drum,2WD,4.7,37.0,402.0,28.0,BS VI,175/60 R15,2,Not Rated
130,Sonet,Kia,Compact SUV,5,1493.0,3995,1790,1610,2500,4.0,Diesel,1.5L CRDi VGT,6 AT,Disc,Drum,2WD,5.1,45.0,392.0,19.0,BS VI,195/65 R15,2,3
104,Tucson,Hyundai,SUV,5,1999.0,4630,1865,1665,2755,4.0,Petrol,Nu 2.0 Petrol,6 AT,Disc,Disc,2WD,5.9,54.0,540.0,,BS VI,235/60 R18,2,3
99,Verna,Hyundai,Sedan,5,998.0,4440,1729,1475,2600,4.0,Petrol,1.0L Turbo GDi,DCT,Disc,Drum,2WD,5.2,45.0,480.0,19.2,BS VI,195/55 R16,1,0
91,i20,Hyundai,Hatchback,5,998.0,3995,1775,1505,2580,4.0,Petrol,1.0L Turbo GDi,iMT,Disc,Drum,2WD,5.2,37.0,326.0,20.25,BS VI,195/55 R16,2,3
92,i20,Hyundai,Hatchback,5,1493.0,3995,1775,1505,2580,4.0,Diesel,1.5L U2,6 MT,Disc,Drum,2WD,5.2,37.0,326.0,25.2,BS VI,195/55 R16,3,3
105,Tucson,Hyundai,SUV,5,1997.0,4630,1865,1665,2755,4.0,Diesel,R 2.0 Diesel,8 AT,Disc,Disc,2WD,5.9,54.0,540.0,12.95,BS VI,235/60 R18,2,3
81,Fortuner,Toyota,SUV,7,2694.0,4795,1855,1835,2745,4.0,Petrol,2.7L Petrol,6 AT,Disc,Disc,2WD,5.8,80.0,296.0,14.2,BS VI,265/65 R17,1,5
109,Venue,Hyundai,Compact SUV,5,998.0,3995,1770,1617,2500,4.0,Petrol,1.0L Kappa Turbo GDi,iMT,Disc,Drum,2WD,5.1,45.0,350.0,17.8,BS VI,215/60 R16,2,4
146,Carens,Kia,MUV,6,1493.0,4540,1800,1708,2780,4.0,Diesel,1.5L CRDi VGT,6 AT,Disc,Disc,2WD,5.1,45.0,216.0,18.4,BS VI,205/65 R16,1,3
152,Safari,Tata,SUV,6,1956.0,4661,1894,1786,2741,4.0,Diesel,Kryotech 2.0L Turbocharged,6 MT,Disc,Disc,2WD,5.8,50.0,447.0,16.14,BS VI,235/60 R18,2,6
122,Alcazar,Hyundai,SUV,7,1999.0,4500,1790,1675,2760,4.0,Petrol,2.0L Mpi,6 MT,Disc,Disc,2WD,5.3,50.0,180.0,14.5,BS VI,215/55 R18,2,Not Rated
77,Fortuner,Toyota,SUV,7,2755.0,4795,1855,1835,2745,4.0,Diesel,2.8L Diesel,6 AT,Disc,Disc,4WD,5.8,80.0,296.0,14.2,BS VI,265/60 R18,1,5
102,Aura,Hyundai,Compact Sedan,5,998.0,3995,1680,1520,2450,4.0,Petrol,1.0L Turbo GDi,5 MT,Disc,Drum,2WD,4.7,37.0,402.0,21.0,BS VI,175/60 R15,1,Not Rated
98,Verna,Hyundai,Sedan,5,1493.0,4440,1729,1475,2600,4.0,Diesel,1.5L U2 CRDi,6 AT,Disc,Drum,2WD,5.2,45.0,480.0,21.3,BS VI,195/55 R16,2,0
125,Alcazar,Hyundai,SUV,7,1493.0,4500,1790,1675,2760,4.0,Diesel,1.5L CRDi,6 AT,Disc,Disc,2WD,5.3,50.0,180.0,18.1,BS VI,215/55 R18,3,Not Rated
124,Alcazar,Hyundai,SUV,7,1493.0,4500,1790,1675,2760,4.0,Diesel,1.5L CRDi,6 MT,Disc,Disc,2WD,5.3,50.0,180.0,20.4,BS VI,215/55 R18,2,Not Rated
153,Safari,Tata,SUV,6,1956.0,4661,1894,1786,2741,4.0,Diesel,Kryotech 2.0L Turbocharged,6 AT,Disc,Disc,2WD,5.8,50.0,447.0,14.08,BS VI,235/60 R18,2,6
137,Seltos,Kia,SUV,5,1493.0,4315,1800,1620,2610,4.0,Diesel,1.5L CRDi VGT,6  iMT,Disc,Disc,2WD,5.3,50.0,433.0,21.0,BS VI,215/60 R17,1,3
151,Harrier,Tata,SUV,5,1956.0,4598,1894,1706,2741,4.0,Diesel,Kryotech 2.0L Turbocharged,6 AT,Disc,Drum,2WD,5.75,50.0,425.0,14.6,BS VI,235/70 R16,17,6
150,Harrier,Tata,SUV,5,1956.0,4598,1894,1706,2741,4.0,Diesel,Kryotech 2.0L Turbocharged,6 MT,Disc,Drum,2WD,5.75,50.0,425.0,16.35,BS VI,235/70 R16,17,6
149,Carens,Kia,MUV,7,1493.0,4540,1800,1708,2780,4.0,Diesel,1.5L CRDi VGT,6 MT,Disc,Disc,2WD,5.1,45.0,216.0,21.3,BS VI,205/65 R16,5,3
148,Carens,Kia,MUV,7,1353.0,4540,1800,1708,2780,4.0,Petrol,Smartstream G1.4 T-GDi,7 DCT,Disc,Disc,2WD,5.1,45.0,216.0,16.5,BS VI,205/65 R16,2,3
147,Carens,Kia,MUV,7,1353.0,4540,1800,1708,2780,4.0,Petrol,Smartstream G1.4 T-GDi,6 MT,Disc,Disc,2WD,5.1,45.0,216.0,16.2,BS VI,205/65 R16,5,3
126,Sonet,Kia,Compact SUV,5,1197.0,3995,1790,1610,2500,4.0,Petrol,Smartstream G1.2 ,5 MT,Disc,Drum,2WD,5.1,45.0,392.0,18.4,BS VI,195/65 R15,3,3
106,Tucson,Hyundai,SUV,5,1997.0,4630,1865,1665,2755,4.0,Diesel,R 2.0 Diesel,8 AT,Disc,Disc,4WD,5.9,54.0,540.0,16.38,BS VI,235/60 R18,1,3
123,Alcazar,Hyundai,SUV,7,1999.0,4500,1790,1675,2760,4.0,Petrol,2.0L Mpi,6 AT,Disc,Disc,2WD,5.3,50.0,180.0,14.2,BS VI,215/55 R18,2,Not Rated
145,Carens,Kia,MUV,6,1493.0,4540,1800,1708,2780,4.0,Diesel,1.5L CRDi VGT,6 MT,Disc,Disc,2WD,5.1,45.0,216.0,21.3,BS VI,205/65 R16,5,3
97,Verna,Hyundai,Sedan,5,1493.0,4440,1729,1475,2600,4.0,Diesel,1.5L U2 CRDi,6 MT,Disc,Drum,2WD,5.2,45.0,480.0,25.0,BS VI,195/55 R16,3,0
120,Alcazar,Hyundai,SUV,6,1493.0,4500,1790,1675,2760,4.0,Diesel,1.5L CRDi,6 MT,Disc,Disc,2WD,5.3,50.0,180.0,20.4,BS VI,215/55 R18,2,Not Rated
78,Fortuner,Toyota,SUV,7,2755.0,4795,1855,1835,2745,4.0,Diesel,2.8L Diesel,6 MT with iMT,Disc,Disc,2WD,5.8,80.0,296.0,14.2,BS VI,265/65 R17,1,5
144,Carens,Kia,MUV,7,1497.0,4540,1800,1708,2780,4.0,Petrol,Smartstream G1.5,6 MT,Disc,Disc,2WD,5.1,45.0,216.0,15.7,BS VI,205/65 R16,2,3
118,Alcazar,Hyundai,SUV,6,1999.0,4500,1790,1675,2760,4.0,Petrol,2.0L Mpi,6 MT,Disc,Disc,2WD,5.3,50.0,180.0,14.5,BS VI,215/55 R18,1,Not Rated
138,Seltos,Kia,SUV,5,1493.0,4315,1800,1620,2610,4.0,Diesel,1.5L CRDi VGT,6 AT,Disc,Disc,2WD,5.3,50.0,433.0,18.0,BS VI,215/60 R17,3,3
139,Carnival,Kia,MPV,7,2199.0,5115,1985,1740,3060,4.0,Diesel,2.2L CRDi VGT,8 AT,Disc,Disc,2WD,5.8,60.0,540.0,11.01,BS VI,235/60 R18,1,5
140,Carnival,Kia,MPV,8,2199.0,5115,1985,1740,3060,4.0,Diesel,2.2L CRDi VGT,8 AT,Disc,Disc,2WD,5.8,60.0,540.0,11.01,BS VI,235/60 R18,1,5
141,Carnival,Kia,MPV,9,2199.0,5115,1985,1740,3060,4.0,Diesel,2.2L CRDi VGT,8 AT,Disc,Disc,2WD,5.8,60.0,540.0,11.01,BS VI,235/60 R18,1,5
142,Carens,Kia,MUV,6,1353.0,4540,1800,1708,2780,4.0,Petrol,Smartstream G1.4 T-GDi,6 MT,Disc,Disc,2WD,5.1,45.0,216.0,16.2,BS VI,205/65 R16,5,3
143,Carens,Kia,MUV,6,1353.0,4540,1800,1708,2780,4.0,Petrol,Smartstream G1.4 T-GDi,7 DCT,Disc,Disc,2WD,5.1,45.0,216.0,16.5,BS VI,205/65 R16,2,3
30,Kiger,Renault,Compact SUV,5,999.0,3991,1750,1605,2500,3.0,Petrol,1.0L Energy,5 MT,Disc,Drum,2 WD,5.02,40.0,405.0,19.1,BS VI,195/60 R16,5,4
29,Kiger,Renault,Compact SUV,5,999.0,3991,1750,1605,2500,3.0,Petrol,1.0L Turbo,5 MT,Disc,Drum,2 WD,5.02,40.0,405.0,20.5,BS VI,195/60 R16,2,4
38,C3,Citroen,Hatchback,5,1199.0,3981,1733,1604,2540,3.0,Petrol,Puretech 110,6 MT,Disc,Drum,2 WD,4.98,30.0,315.0,19.4,BS VI,195/65 R15,1,Not Rated
37,C3,Citroen,Hatchback,5,1198.0,3981,1733,1604,2540,3.0,Petrol,Puretech 82,5 MT,Disc,Drum,2 WD,4.98,30.0,315.0,19.8,BS VI,195/65 R15,2,Not Rated
36,Kwid,Renault,Hatchback,5,999.0,3731,1579,1490,2422,3.0,Petrol,1.0 Sce,AMT,Disc,Drum,2 WD,5.0,28.0,279.0,22.0,BS VI,155/80 R13,2,2
35,Kwid,Renault,Hatchback,5,999.0,3731,1579,1490,2422,3.0,Petrol,1.0 Sce,5 MT,Disc,Drum,2 WD,5.0,28.0,279.0,21.7,BS VI,155/80 R13,4,2
34,Kwid,Renault,Hatchback,5,799.0,3731,1579,1490,2422,3.0,Petrol,0.8 SCe,5 MT,Disc,Drum,2 WD,5.0,28.0,279.0,20.7,BS VI,155/80 R13,2,2
33,Triber,Renault,MUV,7,999.0,3991,1739,1643,2636,3.0,Petrol,1.0L Energy,AMT,Disc,Drum,2 WD,5.4,40.0,625.0,18.2,BS VI,185/65 R15,4,4
32,Triber,Renault,MUV,7,999.0,3991,1739,1643,2636,3.0,Petrol,1.0L Energy,5 MT,Disc,Drum,2 WD,5.4,40.0,625.0,19.0,BS VI,185/65 R15,4,4
31,Kiger,Renault,Compact SUV,5,999.0,3991,1750,1605,2500,3.0,Petrol,1.0L Energy,AMT,Disc,Drum,2 WD,5.02,40.0,405.0,19.0,BS VI,195/60 R16,3,4
1,Virtus,Volkswagen,Sedan,5,999.0,4561,1752,1507,2651,3.0,Petrol,1.0L TSI,6-Speed AT,Disc,Drum,2WD,5.05,45.0,521.0,18.12,BS VI,205/55 R16,2,Not Tested
53,XUV 300,Mahindra,Compact SUV,5,1197.0,3995,1821,1627,2600,3.0,Petrol,Turbo Petrol,6 MT,Disc,Disc,2WD,5.3,42.0,257.0,17.0,BS VI,205/65 R16,4,5
28,Kiger,Renault,Compact SUV,5,999.0,3991,1750,1605,2500,3.0,Petrol,1.0L Turbo,CVT,Disc,Drum,2 WD,5.02,40.0,405.0,18.2,BS VI,195/60 R16,2,4
5,Taigun,Volkswagen,Mid Size SUV,5,1498.0,4221,1760,1612,2651,3.0,Petrol,1.5L TSI Evo with ACT,6-Speed MT,Disc,Drum,2WD,5.05,50.0,385.0,18.47,BS VI,205/55 R17,1,5
4,Taigun,Volkswagen,Mid Size SUV,5,999.0,4221,1760,1612,2651,3.0,Petrol,1.0L TSI,6-Speed AT,Disc,Drum,2WD,5.05,50.0,385.0,17.23,BS VI,205/55 R17,2,5
3,Taigun,Volkswagen,Mid Size SUV,5,999.0,4221,1760,1612,2651,3.0,Petrol,1.0L TSI,6-Speed MT,Disc,Drum,2WD,5.05,50.0,385.0,19.2,BS VI,205/55 R17,3,5
6,Taigun,Volkswagen,Mid Size SUV,5,1498.0,4221,1760,1612,2651,3.0,Petrol,1.5L TSI Evo with ACT,7-Speed DSG,Disc,Drum,2WD,5.05,50.0,385.0,17.88,BS VI,205/55 R17,1,5
54,XUV 300,Mahindra,Compact SUV,5,1197.0,3995,1821,1627,2600,3.0,Petrol,Turbo Petrol,6 AT,Disc,Disc,2WD,5.3,42.0,257.0,17.0,BS VI,205/65 R16,4,5
26,Magnite,Nissan,Compact SUV,5,999.0,3994,1758,1572,2500,3.0,Petrol,HRAO 1.0L Turbo,5 MT,Disc,Drum,2 WD,5.0,40.0,336.0,20.0,BS VI,195/60 R16,5,4
27,Magnite,Nissan,Compact SUV,5,999.0,3994,1758,1572,2500,3.0,Petrol,HRAO 1.0L Turbo,CVT,Disc,Drum,2 WD,5.0,40.0,336.0,17.7,BS VI,195/60 R16,5,4
25,Magnite,Nissan,Compact SUV,5,999.0,3994,1758,1572,2500,3.0,Petrol,B4D 1.0L NA,5 MT,Disc,Drum,2 WD,5.0,40.0,336.0,18.75,BS VI,195/60 R16,5,4
0,Virtus,Volkswagen,Sedan,5,999.0,4561,1752,1507,2651,3.0,Petrol,1.0L TSI,6-Speed MT,Disc,Drum,2WD,5.05,45.0,521.0,19.4,BS VI,205/55 R16,3,Not Tested
107,Kona Electric,Hyundai,SUV,5,,4180,1800,1570,2600,,Electric,Permanent magnet synchronous motor (PMSM),,Disc,Disc,2WD,5.3,,332.0,,,215/55 R17,1,5
